Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Beyond Single-Metal Solutions,"Reasoning for ""Beyond Single-Metal Solutions""",Experimental Study with Clear Methodology,"Reasoning for ""Experimental Study with Clear Methodology""",Experimental Validation,"Reasoning for ""Experimental Validation""",Industrial Wastewater Treatment Medium,"Reasoning for ""Industrial Wastewater Treatment Medium""",Microalgae Species Identification,"Reasoning for ""Microalgae Species Identification""",Microalgae-Based Biosorption Focus,"Reasoning for ""Microalgae-Based Biosorption Focus""",Primary Focus on Microalgae,"Reasoning for ""Primary Focus on Microalgae""",Quantitative Metal Removal Measurement,"Reasoning for ""Quantitative Metal Removal Measurement""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Porous geopolymers as dye adsorbents: Review and perspectives,"The treatment of wastewater containing dyes remains a challenge for industries, and dye removal can become more complex depending on the chemical structure of the molecule. Conventional treatments are ineffective; therefore, there has been increasing research on alternative methods such as adsorption. Geopolymers have been used as adsorbents, especially for dye adsorption. In this work, we provide a systematic review of the synthesis, characterization, and application of geopolymers in dye adsorption. First, we describe the sources of geopolymers, such as aluminosilicates of natural origin or residues, including the methods of preparation and pore formation. Then, we critically discuss the basic characteristics of a good adsorbent, e.g., pore microstructure, surface area, functional groups, and mineralogical composition. We then evaluate the application of these materials for adsorption of different classes of dyes, in terms of color removal and adsorptive capacity. Furthermore, we address the mechanisms involved in sorption and briefly review studies on desorption and regeneration. Finally, we consider gaps to be filled, challenges to be overcome, and perspectives in order to guide and direct the development of more competitive adsorbent geopolymers.","G. Tochetto, L. Simão, D. de Oliveira, D. Hotza, A. Immich",10.1016/j.jclepro.2022.133982,https://doi.org/10.1016/j.jclepro.2022.133982,Journal of Cleaner Production,38,2022,no,"The paper focuses on dye removal, not on the use of industrial wastewater or complex multi-metal solutions for biosorption.",no,"This is a systematic review paper, not an experimental study. While it discusses methodology, it is reviewing others' work rather than presenting original experiments.",no,"As a review paper, it does not present any original experimental data or validation.",no,"While the paper mentions industrial wastewater treatment, it is in the context of dye removal, not metal removal from industrial wastewater.",no,The paper does not mention any microalgae species or strains used in the biosorption process.,no,"The paper focuses on geopolymers as adsorbents, not on microalgae-based biosorption processes for the removal of heavy metals.",no,"The primary focus of the paper is on geopolymers, not on microalgae as the main biosorbent.",no,"The paper does not report any quantitative, measurable outcomes such as removal efficiency (%), biosorption capacity (mg/g), or concentration reduction for metal removal. Instead, it focuses on dye removal, not metal removal.",Exclude,"The systematic review focuses exclusively on geopolymers for dye removal, completely diverging from the specified screening criteria related to microalgae-based metal biosorption. No aspects of the paper align with the required elements of microalgae species identification, experimental validation, industrial wastewater treatment, or quantitative metal removal measurements. The study fundamentally addresses a different research domain and fails to meet any of the established screening requirements.",0.1
Valuable components recovery from wastewater and brine using electrocoagulation-based coupled process: A systematic review,"Wastewater and brine can be regarded as significant resources since they contain various valuable components, including precious metals, energy metals, heavy metals, anion salts, oil, fats, ammonium, and uranium. Conventional electrocoagulation appears to possess massive evolutionary potential and superior application prospects but is generally concentrated on removing impurities. Recently, electrocoagulation has attracted significant attention for valuable component recovery in terms of comprehensive utilization of resources. This work reviews the recovery of the valuable components from wastewater and brine using various electrocoagulation systems with novel anode materials and coupling apparatus. Appropriate parameters like current density and solution pH are imperative to enhance recovery efficiency and reduce energy consumption via adjusting the properties of flocculates. These valuable components can be recovered as metal elements, high-concentration leachates, and solid-phase products. Various enhanced electrocoagulation-based coupled systems have been developed from perspectives of recovery efficiency and energy saving. Besides, perspectives for further investigation are proposed for recovery process enhancement and industrial applications.","Ye Zhang, Xiangting Tang, Jiayi Zhang, Yi Zhang, Ruoning Yu, Wenshuo Wang, Sen Lin, Jianguo Yu",10.1016/j.desal.2024.117732,https://doi.org/10.1016/j.desal.2024.117732,Desalination,7,2024,maybe,"The paper does discuss recovery from complex wastewater and brine solutions, but again, not in the context of microalgae treatment.",no,This appears to be a review paper rather than an experimental study. It discusses various electrocoagulation systems but does not present original experimental methodology.,no,"As a review paper, it likely includes discussion of experimental data from other studies, but does not present new experimental validation.",yes,"The paper does discuss wastewater and brine treatment, which meets this criterion. However, it is in the context of electrocoagulation, not microalgae treatment.",no,"No microalgae species are mentioned or identified, as this is not a microalgae-focused study.",no,"The paper focuses on electrocoagulation technology, not microalgae-based biosorption. There is no mention of microalgae or biological treatment methods.",no,"The primary focus is clearly on electrocoagulation technology, not microalgae.",maybe,"The abstract mentions ""recovery efficiency"" but does not explicitly discuss specific quantitative measurements like removal percentages or biosorption capacity. While measurements are likely included in the full paper, the abstract does not clearly indicate this.",Exclude,"The study focuses on electrocoagulation technology for wastewater treatment, fundamentally diverging from the specified screening criteria centered on microalgae-based biosorption. Critical requirements such as microalgae species identification, experimental validation, and primary focus on microalgae are not met, rendering the paper non-compliant with the established screening parameters. The research addresses metal recovery through electrocoagulation, which represents a distinctly different technological approach from the targeted microalgae-based biosorption methodology.",0.1
Decomposition of metal-organic complexes and metal recovery in wastewater: A systematic review and meta-synthesis.,"Metals are rarely found as free ions in natural and anthropogenic environments, but they are often associated with organic matter and minerals. Under the context of circular economy, metals should be recycled, yet they are difficult to extract for their complex forms in real situations. Based on the protocols of review methodology and the analysis of VOS viewer, there are few reviews on the properties of metal-organic complexes, decomplexation methods, the effect of coexisting ions, the pH influence, and metal recovery methods for the increasingly complicated metal-organic complexes wastewater. Conventional treatment methods such as flocculation, adsorption, biological degradation, and ion exchange fail to decompose metal-organic complexes completely without causing secondary pollution in wastewater. To enhance comprehension of the behavior and morphology exhibited by metal-organic complexes within aqueous solutions, we presented the molecular structure and properties of metal-organic complexes, the decomplexation mechanisms that encompassed both radical and non-radical oxidizing species, including hydroxyl radical (OH), sulfate radical (SO˙
Copyright © 2023 Elsevier B.V. All rights reserved.","Wenhui Sun, Jiao Li, Ziang Chen, Shuwen Wang, Eric Lichtfouse, Hongbo Liu",10.1016/j.scitotenv.2023.169582,https://doi.org/10.1016/j.scitotenv.2023.169582,Science of the Total Environment,7,2023,no,"While the paper discusses complex metal-organic complexes and coexisting ions, it does not present experimental work with these solutions.",no,"This appears to be a review paper rather than an experimental study, as no experimental methodology is described.",no,"As a review paper, it does not present original experimental data or validation, and instead analyzes existing literature using VOS viewer.",no,"While the paper discusses ""metal-organic complexes wastewater"" and ""real situations,"" it appears to be reviewing general treatment approaches rather than conducting experiments with specific wastewater types.",no,No microalgae species are mentioned or identified in the abstract.,no,"The abstract does not mention microalgae at all, and instead discusses various treatment methods (flocculation, adsorption, biological degradation, ion exchange) without a specific focus on microalgae-based biosorption.",no,"The paper does not focus on microalgae at all, and instead appears to be a broad review of metal-organic complex treatment methods.",no,"The abstract does not present any specific quantitative measurements or outcomes, as it appears to be a review paper discussing metal-organic complexes and treatment methods rather than reporting experimental results.",Exclude,"This review paper on metal-organic complexes fails to meet the systematic review's screening criteria, lacking experimental data, microalgae focus, and quantitative metal removal measurements. The abstract discusses treatment methods and complex metal interactions but does not provide the specific experimental details or microalgae-based biosorption research required for inclusion.",0.1
A Review of Chitosan as a Coagulant of Health-Related Microorganisms in Water and Wastewater,"The coagulation and flocculation properties of chitosan, an organic biopolymer derived from chitin, have been researched as an alternative to synthetic polymers and inorganic metal salt coagulants currently used in water and wastewater treatment. In an effort to encourage further research into the practical uses of chitosan as green chemistry in water and wastewater treatment and to promote the efficacious removal of microbial contaminants in drinking and wastewater, we have summarized the current state of research pertaining to the treatment of microorganisms in water and wastewater. A search of PubMed revealed 720 possible titles and abstracts, of which 44 full-text articles were identified as matching the eligibility criteria for inclusion in this systematic review. Results are presented based on the type of water matrix treated (i.e., drinking water, wastewater, and recreational waters) and a summary table providing details on the types and forms of chitosan utilized and the treatment mechanisms and processes described in the study. We find chitosan to be an effective coagulant, flocculant, and adsorbent for removing microbes from water and wastewater; some modified forms of chitosan can inactivate microbes and achieve disinfection, such as those containing metals like silver and antimicrobial chemicals like quaternary ammonium compounds or other strong oxidants, and use with filtration or electrochemical processes can achieve extensive reductions in microbes to meet performance targets of the World Health Organization.","C. Coleman, H. Oza, Emily S. Bailey, M. Sobsey",10.3390/environments11100211,https://doi.org/10.3390/environments11100211,Environments,4,2024,no,"The paper doesn't address metal removal at all, so this criterion is not applicable.",no,"This is actually a systematic review of other studies, not an experimental study itself. While it mentions analyzing 44 full-text articles, it's not presenting original experimental work.",no,"As a systematic review, this paper doesn't present original experimental data. It summarizes findings from other studies.",no,"While the paper discusses wastewater treatment, it's in the context of microbial removal, not metal removal. The focus is on drinking water, wastewater, and recreational waters for microbial treatment.",no,No microalgae species are mentioned or studied in this paper.,no,The paper focuses entirely on chitosan as a coagulant/flocculant for microbial removal. There is no mention of microalgae or biosorption processes for metal removal.,no,"The primary focus is on chitosan, not microalgae.",no,"The abstract does not mention any quantitative measurements for metal removal. While it discusses removal of microbes, there is no indication of metal removal studies.",Exclude,"The systematic review focuses exclusively on chitosan's microbial removal properties in water treatment, completely diverging from the specified screening criteria related to microalgae-based metal biosorption. No aspects of the paper align with the required experimental, methodological, or species-specific parameters for microalgae metal removal studies. The research fundamentally addresses a different scientific domain, rendering it non-compliant with all established screening requirements.",0.1
Exposure to metal mixtures and adverse pregnancy and birth outcomes: A systematic review.,"BACKGROUND
Prenatal exposure to metal mixtures is associated with adverse pregnancy and birth outcomes like low birth weight, preterm birth, and small for gestational age. However, prior studies have used individual metal analysis, lacking real-life exposure scenarios.
OBJECTIVES
This systematic review aims to evaluate the strength and consistency of the association between metal mixtures and pregnancy and birth outcomes, identify research gaps, and inform future studies and policies in this area.
METHODS
The review adhered to the updated Preferred Reporting Items for Systematic Review and Meta-analysis (PRISMA) checklist, along with the guidelines for conducting systematic reviews and meta-analyses of observational studies of etiology (COSMOS-E). Our data collection involved searching the PubMed, MEDLINE, and SCOPUS databases. We utilized inclusion criteria to identify relevant studies. These chosen studies underwent thorough screening and data extraction procedures. Methodological quality evaluations were conducted using the NOS framework for cohort and case-control studies, and the AXIS tool for cross-sectional studies.
RESULTS
The review included 34 epidemiological studies, half of which focused on birth weight, and the others investigated neonate size, preterm birth, small for gestational age, miscarriage, and placental characteristics. The findings revealed significant associations between metal mixtures (including mercury (Hg), nickel (Ni), arsenic (As), cadmium (Cd), manganese (Mn), cobalt (Co), lead (Pb), zinc (Zn), barium (Ba), cesium (Cs), copper (Cu), selenium (Se), and chromium (Cr)) and adverse pregnancy and birth outcomes, demonstrating diverse effects and potential interactions.
CONCLUSION
In conclusion, this review consistently establishes connections between metal exposure during pregnancy and adverse consequences for birth weight, gestational age, and other vital birth-related metrics. This review further demonstrates the need to apply mixture methods with caution but also shows that they can be superior to traditional approaches. Further research is warranted to deeper understand the underlying mechanisms and to develop effective strategies for mitigating the potential risks associated with metal mixture exposure during pregnancy.
Copyright © 2023 Elsevier B.V. All rights reserved.","Ibrahim Issah, Mabel S. Duah, J. Arko-Mensah, S. A. Bawua, T. P. Agyekum, J. Fobil",10.1016/j.scitotenv.2023.168380,https://doi.org/10.1016/j.scitotenv.2023.168380,Science of the Total Environment,25,2023,no,"While the paper does look at metal mixtures, it is in the context of human exposure, not biosorption or wastewater treatment.",no,"This is a systematic review of epidemiological studies, not an experimental study. While it has clear methodology for the review, it is not the type of experimental study required.",no,"While the paper includes analysis of experimental studies, they are epidemiological studies. There is no experimental validation of biosorption processes.",no,There is no mention of wastewater treatment. The study focuses on human exposure to metals during pregnancy.,no,No microalgae species are mentioned or studied.,no,The paper does not mention microalgae or biosorption at all. It focuses on the health effects of metal exposure during pregnancy.,no,"The primary focus is on human health effects, not microalgae.",no,"The paper does not report any quantitative metal removal measurements or biosorption outcomes. Instead, it focuses on the health effects of metal exposure rather than removal processes.",Exclude,"This systematic review on metal exposure during pregnancy fundamentally lacks alignment with the specified screening criteria related to microalgae-based biosorption and wastewater treatment. The study focuses exclusively on epidemiological health outcomes and does not address any aspects of metal removal, microalgae species, or experimental biosorption processes. Consequently, the paper fails to meet any of the established screening requirements.",0.1
"A systematic review of microplastics in the environment: Sampling, separation, characterization and coexistence mechanisms with pollutants.","Microplastics (<5 mm) (MPs) are widely distributed throughout the world, and their accumulation and migration in the environment have caused health and safety concerns. Currently, most of the reviewed literatures mainly focus on the distribution in various environmental media, adsorption mechanisms with different pollutants, and characterization of MPs. Therefore, the present review mainly highlights the characterization techniques of MPs and the underlying mechanisms of their combination with conventional coexisting substances (heavy metals, organic pollutants, and nutrients). We observed that massive MP pollution has been found in many areas, especially in Africa, Asia, India, South Africa, North America and Europe. The separation methods of MPs in different environmental media are basically similar, including sampling, pre-treatment, flotation, filtration and digestion. The combination of multiple characterization technologies can more precisely identify the shape, abundance, colour, and particle size of MPs. Notably, although recent reports have confirmed that MPs can act as carriers of heavy metals and carry them into organisms to cause harm, MPs have different adsorption and desorption characteristics for various heavy metals. The adsorption capacity of organic pollutants onto MPs is closely related to their hydrophobicity, specific surface area and functional group characteristics. The relative abundance of MPs in sediments and lakes had a significantly positive correlation with the mass concentration of total nitrogen in lake water, but this finding still needs to be further verified. Based on current research, we suggest that future MP research should focus on characterization technology, environmental migration, ecological effects, health risks and degradation methods.
Copyright © 2022 Elsevier B.V. All rights reserved.","Zhenming Zhang, Xianliang Wu, Huijuan Liu, Xianfei Huang, Qin Chen, Xuetao Guo, Jiachun Zhang",10.1016/j.scitotenv.2022.160151,https://doi.org/10.1016/j.scitotenv.2022.160151,Science of the Total Environment,37,2022,no,"While the paper discusses multiple pollutants and heavy metals, it does not specifically address biosorption processes or treatment applications.",no,This is a review paper that summarizes existing literature rather than presenting original experimental work. It does not describe specific experimental methodologies.,no,"As a review paper, it does not present original experimental data or validation.",no,The paper discusses environmental media in general but does not specifically address industrial wastewater treatment applications.,no,No microalgae species are mentioned or identified in the paper.,no,The paper focuses entirely on microplastics and their interactions with heavy metals and other pollutants. There is no mention of microalgae or biosorption processes using microalgae.,no,"The primary focus is on microplastics, not microalgae. Microalgae are not mentioned at all in the abstract.",no,"The paper does not report specific quantitative measurements of metal removal. While it mentions heavy metals and their adsorption onto microplastics, it appears to be a review paper discussing general mechanisms rather than presenting specific removal efficiencies or capacities.",Exclude,"The abstract describes a review of microplastics and their environmental interactions, which fundamentally differs from the screening criteria focused on microalgae-based metal biosorption. No experimental data, microalgae species identification, or quantitative metal removal measurements are present, rendering the paper non-compliant with the specified research parameters. The study's focus on microplastic characterization and environmental distribution completely diverges from the targeted research scope.",0.1
Key factors determining biochar sorption capacity for metal contaminants: a literature synthesis,"Abstract The sorption capacity and affinity of biochar for metals are both important attributes that determine biochar’s suitability as a soil amendment for contaminant mitigation, yet few analyses have considered both characteristics simultaneously. We present a systematic review of literature published between 2010 and 2018 to test the hypothesis that sorption capacity and affinity are affected by biochar properties, attributes of the metal contaminant, and experimental conditions, in that order. We used random forest (RF) and multi-objective optimization to analyze data of 559 individual Langmuir adsorption isotherms extracted from 133 studies covering the sorption capacity ( C max ) and affinity ( K L ) of biochar for 17 different metals, elaborated from six different feedstock classes, three different types of feedstock pretreatment, and five types of post-pyrolysis treatment. Highest sorption values were obtained for Pb(II), Cr(IV), and Cd(II). The feedstock used was the key determinant influencing biochar’s capacity and affinity to sorb metal contaminants (first and fourth most important variable in RF models for C max and K L , respectively) with best results obtained for biochar elaborated from nutrient-dense feedstocks (animal biowaste, sludge, and manure). Biochars that had both high sorption capacity and affinity were the result of a longer duration of pyrolysis; they had lower C and higher N and O content, as well as lower C/N and higher O/C and H/C ratios, higher pore volumes and higher pH. Applying some form of pretreatment was better than none, whereas chemical modification was the best of the post-treatment methods analyzed. This review demonstrates clearly that multiple parameters during the preparation process influence the effectiveness of biochar to immobilize metal contaminants. Future research that focuses on mechanisms and the underlying factors for the correlations observed should allow the development of biochar formulations that are even more effective at immobilizing metal contaminants in soils and sediments.","E. Thomas, N. Borchard, Christian Sarmiento, R. Atkinson, B. Ladd",10.1007/s42773-020-00053-3,https://doi.org/10.1007/s42773-020-00053-3,Biochar,37,2020,no,"The paper does analyze multiple metals (17 different metals), but in the context of biochar sorption, not microalgae-based biosorption.",no,"This is a systematic review paper, not an experimental study. While it analyzes experimental data from other studies, it does not present its own experimental methodology.",no,"While the paper analyzes experimental data from other studies, it does not present new experimental validation. It's a review and analysis of existing literature.",no,"The paper discusses soil amendment and contaminant mitigation, not industrial wastewater treatment. The medium of study is different from what's required.",no,"The paper does not involve microalgae at all, so there is no species identification.",no,"The paper focuses on biochar as a sorbent material, not microalgae. This is a clear mismatch with the screening criteria.",no,"The primary focus is on biochar, not microalgae. This is a fundamental mismatch with the screening criteria.",no,"The paper discusses sorption capacity and affinity measurements, but as a review paper analyzing existing studies rather than reporting new experimental measurements. While it mentions quantitative parameters (Cmax and KL), these are from analyzed literature rather than original research.",Exclude,"The systematic review focuses on biochar sorption of metals, fundamentally diverging from the screening criteria's requirements for microalgae-based biosorption. Critical misalignments include the absence of microalgae, lack of industrial wastewater treatment, and the paper's nature as a literature review rather than an experimental study. These core differences render the paper unsuitable for inclusion in the systematic review.",0.1
"Bridging the Gaps for a ‘Circular’ Bioeconomy: Selection Criteria, Bio-Based Value Chain and Stakeholder Mapping","Bio-products and bio-based value chains have been identified as one of the most promising pathways to attaining a resource-efficient circular economy. Such a “valorization and value-addition” approach incorporates an intricate network of processes and actors, contributing to socio-economic growth, environmental benefits and technological advances. In the present age of limited time and funding models to achieve ambitious sustainable development targets, whilst mitigating climate change, a systematic approach employing two-tier multi-criteria decision analysis (MCDA) can be useful in supporting the identification of promising bio-based value chains, that are significant to the EU plans for the bio-economy. Their identification is followed by an elaborate mapping of their value chains to visualize/foresee the strengths, weaknesses, opportunities and challenges attributable to those bio-based value chains. To demonstrate this methodology, a systematic review of 12 bio-based value chains, prevalent in the EU, sourcing their starting material from biomass and bio-waste, has been undertaken. The selected value chains are mapped to visualize the linkages and interactions between the different stages, chain actors, employed conversion routes, product application and existing/potential end-of-life options. This approach will help chain-actors, particularly investors and policy-makers, understand the complexities of such multi-actor systems and make informed decisions.","K. Lokesh, L. Ladu, L. Summerton",10.3390/SU10061695,https://doi.org/10.3390/SU10061695,-,79,2018,no,"There is no mention of metal solutions or biosorption, indicating that the paper does not test biosorption using industrial wastewater or complex multi-metal solutions.",no,"This is not an experimental study but rather a systematic review and decision analysis, so it does not have the methodological details of an experimental study.",no,"This is a theoretical/review paper using MCDA methodology, and no experimental data or validation is mentioned, indicating that the paper does not include experimental data and validation.",no,"There is no mention of wastewater treatment or industrial wastewater, indicating that the paper does not use actual industrial wastewater or synthetic wastewater that simulates industrial conditions as the treatment medium.",no,"No microalgae species are mentioned, indicating that the paper does not clearly identify the microalgae species or strains used in the biosorption process.",no,"The abstract does not mention microalgae or biosorption processes, indicating that the paper does not investigate biosorption processes using microalgae for removal of heavy metals.",no,"Microalgae are not mentioned at all, indicating that the paper does not have microalgae as the primary biosorbent investigated.",no,"The abstract does not mention any metal removal measurements or quantitative outcomes, indicating that the paper does not report quantitative, measurable outcomes such as removal efficiency, biosorption capacity, or concentration reduction for metal removal.",Exclude,"The systematic review paper on bio-based value chains fails to meet any of the specified screening criteria related to microalgae-based metal removal and biosorption processes. No experimental data, microalgae species identification, or quantitative metal removal measurements are present in the abstract. The study is fundamentally a theoretical review of bio-economy value chains, completely divergent from the targeted research focus.",0.1
Diversity of Anticancer and Antimicrobial Compounds from Lichens and Lichen-derived Fungi: A Systematic Review (1985-2017),"The emergence of multidrug-resistant (MDR) pathogens and cancers alarms the world for the urgent exploration of new therapeutic drugs to treat the superbugs and cancer patients. Since the ancient time, natural products and/or their derivatives have become continuous sources of leading commercialized pharmacological compounds that are used as antibiotics and antitumor agents. An unexplored source of natural products, lichen, currently has evolved into a propitious source of diverse secondary metabolites with various bio-activities including anticancer and antimicrobial, offering the abundant potentiality for future drugs. Herein, we summarized the progress in the discovery of structurally diverse anticancer compounds (C1-C85) with their plausible mode of action and antimicrobial compounds (M1-M112) from lichen and lichen-derived fungi together with their biodiversity. This review covers natural products discussed in literature from January 1985 to December 2017. Keywords: Lichen, anticancer and antimicrobial, biodiversity, diverse metabolites, secondary metabolites, lichenized fungi.","B. Basnet, Hongwei Liu, Li Liu, Y. Suleimen",10.2174/1385272822666181109110813,https://doi.org/10.2174/1385272822666181109110813,Current organic chemistry,15,2019,no,"There is no discussion of metal solutions or biosorption, and the focus is on pharmaceutical compounds.",no,"This is a review paper summarizing literature from 1985-2017, and no experimental methodology is described.",no,"As a review paper, it summarizes existing literature, and no original experimental data is presented.",no,"There is no discussion of wastewater treatment, and the focus is on pharmaceutical applications.",no,"No microalgae species are mentioned, and the paper discusses lichens and fungi instead.",no,"The paper focuses on lichens and lichen-derived fungi, and there is no mention of microalgae or biosorption processes.",no,"The primary focus is on lichens and fungi, and there is no mention of microalgae.",no,"The paper does not discuss any metal removal measurements or biosorption metrics, and instead focuses on pharmaceutical compounds and their biological activities.",Exclude,"The abstract describes a review of pharmaceutical compounds from lichens and fungi, focusing on anticancer and antimicrobial properties, which completely diverges from the specified screening criteria related to microalgae-based metal removal. No aspects of the paper align with the required elements of microalgae biosorption, industrial wastewater treatment, or quantitative metal removal measurements. The study fundamentally addresses a different scientific domain and fails to meet any of the established screening requirements.",0.1
Extraction of valuable metals from minerals and industrial solid wastes via the ammonium sulfate roasting process: A systematic review,"The concept of a “low-carbon economy” will drive the accelerated deployment of clean energy technologies, which, in turn, will lead to rapid growth in demand for metal resources. In addition to traditional mineral resources, industrial solid wastes commonly contain numerous valuable metals, however, owing to their complex composition, improper treatment may cause serious environmental pollution. Considering the requirement for sustainable development of society, there is an urgent need for a clean, efficient, economical, and sustainable technology for the extraction of valuable metals from various minerals (especially low-grade mineral resources and tailings) and industrial solid wastes. The ammonium sulfate roasting method has the advantages of high metal recovery, good reaction selectivity, environmental friendliness, and low energy consumption, which is a promising roasting technique. Nevertheless, its promotion is hampered by the absence of a comprehensive and systematic understanding. This article provides a comprehensive overview of recovering valuable metals from various minerals and industrial solid wastes by ammonium sulfate roasting, the mechanism of extracting valuable metals is summarized, and the potential of the method is discussed. Furthermore, based on the above comprehensive discussion, future research is suggested to focus on improving the utilization of ammonium sulfate and the recovery of ammonia and sulfur. This technology provides new ideas for the effective treatment of low-grade mineral resources, tailings, and industrial solid wastes, and is of great significance to the clean production of society.","Jinrong Ju, Ya-Li Feng, Hao-ran Li, Chenglong Xu, Zhonghua Xue, Ben Wang",10.1016/j.cej.2022.141197,https://doi.org/10.1016/j.cej.2022.141197,Chemical Engineering Journal,49,2023,no,"While the paper does discuss complex industrial wastes, it's not in the context of biosorption or wastewater treatment.",no,"This appears to be a review/overview paper rather than an experimental study. The abstract explicitly states it ""provides a comprehensive overview"" and discusses mechanisms, but doesn't describe any specific experimental methodology.",no,The paper appears to be a review of existing knowledge rather than presenting new experimental data. No experimental validation is mentioned.,no,"While the paper discusses industrial solid wastes, it focuses on roasting methods rather than wastewater treatment. The medium of study is not aligned with the screening criteria.",no,No microalgae species are mentioned or studied in this paper.,no,"The paper focuses on ammonium sulfate roasting for metal recovery, not microalgae-based biosorption. There is no mention of microalgae or biosorption processes.",no,"The primary focus is on ammonium sulfate roasting technology, not microalgae.",no,"The abstract does not mention any specific quantitative measurements of metal removal. While it discusses metal recovery in general terms, it doesn't provide or promise specific removal efficiencies or capacities.",Exclude,"The paper fundamentally diverges from the screening criteria by focusing on ammonium sulfate roasting for metal recovery rather than microalgae-based biosorption. No experimental data, microalgae species identification, or quantitative metal removal measurements are present, rendering the study non-compliant with the specified research parameters. The technological approach and research objectives are entirely misaligned with the intended screening requirements.",0.1
"Methods for Extraction, Isolation and Purification of C-phycocyanin: 50 years of research in review","Context: Spirulina (Arthrospira) exerts a wide spectrum of pharmacological activities that are largely attributed to its phycobiliprotein content, mainly to C-phycocyanin. The extraction, isolation and purification of C-phycocyanin have been studied for many years, resulting in diverse methodologies with a range of yields and grades of purity. Objective: We performed a systematic review of the literature, consulting all the available years in TOXNET, PubMed/MEDLINE and Science Direct-Scopus. Search criteria included the separation, isolation, and purification methods for C-phycocyanin from different microorganisms. Search words were: extraction, separation, isolation and purification of C-phycocyanin. Results: The combination of aqueous two-phase systems for extraction and ultrafiltration for purification results in the best yields and highest purity of the desired nutraceuticals. It is also essential to consider the freshness and species of the primary biomass, as these factors heavily influence the concentration and viability of the phycobiliproteins and therefore affect the yield and purity. Conclusion: In order to preserve the valuable properties and health benefits of nutraceuticals, such as C-phycocyanin, it is essential to seek innovative methods for isolating and purifying these bioactive substances from natural sources. The information herein gathered indicates the best methods currently available. *Corresponding author: German Chamorro-Cevallos, Department of Pharmacy, National School of Biological Sciences, National Polytechnic Institute , Avenida Wilfrido Massieu s / n. Unit Adolfo Lopez Mateos, Del. Gustavo A. Madero, 07738 Mexico, DF, Mexico, Tel: + (52) (55) 5729 6000/ ext. 52398; E-mail: gchamcev@yahoo.com.mx Received Date: May 25, 2016 Accepted Date: June 10, 2016 Published Date: June 15, 2016","G. Chamorro-Cevallos, VerÃ³nica Cruz de JesÃºs, Gabriel Alfonso GutiÃ©rrez-Rebolledo, Marcela HernÃ¡ndez-Ortega, L. Valadez-Carmona, AngÃ©lica Mojica-Villegas, Â§ GabrielaGutiÃ©rrez-SalmeÃ¡n, Â§ GermÃ¡nChamorroCevallos, Ommega Internationals",10.15436/2377-0619.16.946,https://doi.org/10.15436/2377-0619.16.946,-,20,2016,no,The paper does not involve any metal solutions or biosorption experiments.,no,"While the paper discusses methodologies, it is a systematic review of extraction methods rather than an experimental study. It reviews existing literature rather than presenting new experimental data.",no,"As a systematic review, this paper does not present new experimental data or validation. It summarizes existing literature on extraction methods.",no,The paper does not involve any wastewater treatment. It deals with the extraction of valuable compounds from microalgae biomass.,maybe,"The paper does mention Spirulina (Arthrospira) as the microalgae species, but this is not in the context of biosorption.",no,"The paper does not investigate biosorption processes at all. It focuses on the extraction and purification of C-phycocyanin from microalgae, not on using microalgae for metal removal.",no,"While microalgae (Spirulina) is the focus, it is not being studied for biosorption purposes.",no,"The paper does not discuss any metal removal measurements. It focuses on extraction and purification of C-phycocyanin, a phycobiliprotein, from Spirulina.",Exclude,"This systematic review focuses on C-phycocyanin extraction from Spirulina, completely diverging from the screening criteria related to microalgae-based metal biosorption. The paper lacks experimental validation, metal removal measurements, and any investigation of biosorption processes, rendering it irrelevant to the research question. No aspects of the study align with the specified screening requirements for microalgae-based heavy metal removal.",0.1
