Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Industrial Application Focus,"Reasoning for ""Industrial Application Focus""",Industrial Water Context,"Reasoning for ""Industrial Water Context""",Metal Scope Relevance,"Reasoning for ""Metal Scope Relevance""",Microalgae Biosorbent,"Reasoning for ""Microalgae Biosorbent""",Microalgae Component Required,"Reasoning for ""Microalgae Component Required""",Quantitative Performance Data,"Reasoning for ""Quantitative Performance Data""",Study Type,"Reasoning for ""Study Type""",Target Metals,"Reasoning for ""Target Metals""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Microbial biosorbent for remediation of dyes and heavy metals pollution: A green strategy for sustainable environment,"Toxic wastes like heavy metals and dyes are released into the environment as a direct result of industrialization and technological progress. The biosorption of contaminants utilizes a variety of biomaterials. Biosorbents can adsorb toxic pollutants on their surface through various mechanisms like complexation, precipitation, etc. The quantity of sorption sites that are accessible on the surface of the biosorbent affects its effectiveness. Biosorption’s low cost, high efficiency, lack of nutrient requirements, and ability to regenerate the biosorbent are its main advantages over other treatment methods. Optimization of environmental conditions like temperature, pH, nutrient availability, and other factors is a prerequisite to achieving optimal biosorbent performance. Recent strategies include nanomaterials, genetic engineering, and biofilm-based remediation for various types of pollutants. The removal of hazardous dyes and heavy metals from wastewater using biosorbents is a strategy that is both efficient and sustainable. This review provides a perspective on the existing literature and brings it up-to-date by including the latest research and findings in the field.","M. Tripathi, Pankaj Singh, Ranjan Singh, S. Bala, N. Pathak, Sangram Singh, R. Chauhan, P. K. Singh",10.3389/fmicb.2023.1168954,https://doi.org/10.3389/fmicb.2023.1168954,Frontiers in Microbiology,68,2023,yes,"The paper does have an industrial wastewater treatment context, particularly for textile industry wastewater, so this criterion is partially met.",yes,"The paper does discuss industrial wastewater contexts, particularly textile industry wastewater, which meets this criterion. However, it's not the exclusive focus and includes other contexts as well.",no,"The paper focuses on heavy metals in general, particularly chromium, lead, and mercury, without specific emphasis on the target metals.",no,"The paper discusses biosorbents broadly, including microorganisms, but does not specifically focus on microalgae. While algae are mentioned briefly as one of many organisms that can form biofilms, there is no substantial investigation of microalgae as biosorbents.",no,"The paper does not include microalgae as a biosorbent component. It focuses on bacteria, fungi, and other microorganisms, with only a brief mention of algae in the context of biofilms.",no,"While the paper mentions some removal percentages (e.g., ""96% of chromium""), it appears to be reviewing others' work rather than presenting new experimental data. The paper is a review rather than an experimental study.",maybe,"This is a review paper, which is acceptable according to the criteria. However, it's a broad review of biosorption technologies rather than a systematic review or meta-analysis focused on microalgae.",no,"The paper discusses heavy metals in general, including chromium, lead, and mercury, but does not specifically focus on copper or the other target metals (nickel, cobalt, lithium, rare earth elements). The metal scope is too broad and doesn't emphasize the target metals.",Include,"The review paper broadly discusses biosorption technologies and heavy metal removal, but lacks specific focus on microalgae as a biosorbent and does not emphasize the target metals of interest. While the study addresses industrial wastewater treatment and includes some quantitative performance data, it fails to meet critical screening criteria related to microalgae and specific metal removal. The paper's wide-ranging approach and lack of targeted investigation prevent it from aligning with the systematic review's requirements.",2.5
Responses and tolerance mechanisms of microalgae to heavy metal stress: A review.,"Microalgae, the primary producers in water ecosystems, are the main food of fish and shrimp. Microalgae have a great capacity to absorb heavy metals, and low concentrations of heavy metals can promote the growth of them. But high concentrations have a strong influence on the physiological and biochemical processes in algae, such as growth, photosynthesis, cell ultrastructure, protein content and fatty acid composition. Heavy metals may also induce the formation of reactive oxygen species (ROS), which causes the oxidation damage of protein, lipid and thiol peptides, and activates the antioxidant system. Heavy metals can be removed or converted into another state by biosorption of cell surface, accumulation in cells, combining with antioxidant enzymes and so on. This review summarized the responses of microalgae to heavy metals and comprehensively described the removal and tolerance mechanisms by extracellular adsorption and intracellular accumulation, which are helpful to treat pollution and improve the culture of microalgae.
Copyright © 2022. Published by Elsevier Ltd.","Xinfeng Xiao, Wenfang Li, Meng Jin, Linlin Zhang, Liguo Qin, Wei-wei Geng",10.1016/j.marenvres.2022.105805,https://doi.org/10.1016/j.marenvres.2022.105805,Marine Environmental Research,89,2022,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Recent advances biodegradation and biosorption of organic compounds from wastewater: microalgae-bacteria consortium - A Review.,"The litter of persistent organic pollutants (POPs) into the water streams and soil bodies via industrial effluents led to several adverse effects on the environment, health, and ecosystem. For the past decades, scientists have been paying efforts in the innovation and development of POPs removal from wastewater treatment. However, the conventional methods used for the removal of POPs from wastewater are costly and could lead to secondary pollution including soil and water bodies pollution. In recent, the utilization of green mechanisms such as biosorption, bioaccumulation and biodegradation has drawn attention and prelude the potential of green technology globally. Microalgae-bacteria consortia have emerged to be one of the latent wastewater treatment systems. The synergistic interactions between microalgae and bacteria could proficiently enhance the existing biological wastewater treatment system. This paper will critically review the comparison of conventional and recent advanced wastewater treatment systems and the mechanisms of the microalgae-bacteria symbiosis system.
Copyright © 2021 Elsevier Ltd. All rights reserved.","Sook Sin Chan, Kuan Shiong Khoo, Kit Wayne Chew, Tau Chuan Ling, Pau Loke Show",10.1016/j.biortech.2021.126159,https://doi.org/10.1016/j.biortech.2021.126159,Bioresource Technology,274,2021,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Coupling bioremediation and biorefinery prospects of microalgae for circular economy,"The compounding concentration of pollutants in the environment and the drastic decline in fossil fuels reserves perturbed the environmental sustainability. Consequently, the past few decades saw the emergence of researches focussing on the derivation of renewable substitutes for non-renewable energy resources. Microalgae show promise as a feedstock that could efficiently replace or reduce the need of fossil fuels owing to their resilience to adapt in diverse environment and high lipid content. Present comprehensive review offers an in-depth analysis on the various parameters involving the usage of microalgae for wastewater treatment and production of biodiesel along with other value-added products. The critical analysis showed differential responses of microalgae species towards biotic factors which can influence the accumulation of biomolecules. This necessitates a systematic study on the algal biodiversity to determine the optimal growth conditions which determine their economic feasibility in biorefinery, bioremediation, and circular economy. Biomolecules, especially lipid accumulated in microalgae can be extracted, transesterified to produce fatty acid methyl esters, and eventually transformed into biodiesel. In wastewater treatment, algal biomass can reduce Biological and Chemical Oxygen Demand up to the extent of 90%. Succinctly, microalgae also have the ability to sequester major water pollutants such as nitrogen and phosphorus, absorb heavy metals, xenobiotic compounds, and emerging contaminants to ameliorate water quality. Consequently, propagating microalgae in wastewater could couple green approaches like biosorption for wastewater treatment and biodiesel production. This review also showed that the prospects of biorefinery and multiple value-added products from microalgae enhance the economic viability of microalgae to help achieve environmental sustainability, sustainable development goals (SDGs), and energy resilience.","Michael Van Lal Chhandama, P. Rai, Lalawmpuii",10.1016/j.biteb.2023.101479,https://doi.org/10.1016/j.biteb.2023.101479,Bioresource Technology Reports,15,2023,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
"Phycoremediation of potentially toxic elements for agricultural and industrial wastewater treatment: Recent advances, challenges, and future prospects","Phycoremediation is an eco-friendly and low operational-cost technique. It promotes green technology for biofuel production, high nutrient recovery, and wastewater treatment through microalgae. This review encompasses a set of algal-based remediation methods for potentially toxic elements (PTEs) from agricultural discharges and industrial wastewater. Large-scale algae production approaches, such as suspended cultures in open ponds or closed reactors and immobilized cultures, include biofilm and matrix-immobilized systems for biomass and the removal of wastewater nutrients, as well as PTEs. Fundamentals for remediation of PTEs using microalgae are biosorption and bioaccumulation, and thus, this review summarizes how microalgae are beneficial for wastewater treatment. Further, this review describes recent technologies, i.e., bioreactors, high-rate algal ponds, commercial sorption, etc., used in wastewater treatment and their specifications and eco-friendly remediation of contaminants from agricultural and industrial effluent. Wastewater treatment process utilizes algae or macro-algae in both conventional facultative ponds and advanced algal ponds, such as high-rate algal ponds with photo-bioreactors. This review also covers the advancement in the bioremediation of nutrients and PTE contaminants in agricultural and industrial wastewater using microalgae. Lastly, this review concluded with various limitations, challenges, and prospects on algae implications in wastewater, considering carbon neutrality and circular economy.","Rakesh Kumar, Deepa Kundu, Tapos Kormoker, Sarita Joshi, Pawan Kumar Rose, Sundhanshu Kumar, Prafulla Kumar Sahoo, Prabhakar Sharma, Jasmeet Lamba",10.1016/j.dwt.2024.100505,https://doi.org/10.1016/j.dwt.2024.100505,Desalination and Water Treatment,10,2024,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Role of microbial community and metal-binding proteins in phytoremediation of heavy metals from industrial wastewater.,"This review illustrated the role of metal-binding proteins (MBPs) and microbial interaction in assisting the phytoremediation of industrial wastewater polluted with heavy metals. MBPs are used to increase the accumulation and tolerance of metals by microorganisms via binding protein synthesis. Microbes have various protection mechanisms to heavy metals stress like compartmentalization, exclusion, complexity rendering, and the synthesis of binding proteins. MBPs include phytochelatins, metallothioneins, Cd-binding peptides (CdBPs), cysteines (gcgcpcgcg) (CP), and histidines (ghhphg)
Copyright © 2021 Elsevier Ltd. All rights reserved.","Pooja Sharma, A. Pandey, Aswathy Udayan, Sunil Kumar",10.1016/j.biortech.2021.124750,https://doi.org/10.1016/j.biortech.2021.124750,Bioresource Technology,100,2021,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Resource recovery from industrial effluents through the cultivation of microalgae: A review.,"Industrial effluents such as pharmaceutical residues, pesticides, dyes, and metal processes holds abundant value-added products (VAPs), where its recovery has become essential. The purpose of such recovery is for sustainable treatment, which is an approach that considers the economic, social, and environmental aspects. Microalgae with its potential in the recovery process from effluents, can reduce energy usage of waste management strategies and regenerate nutrients such as carbon, phosphorus, and nitrogen. Microalgae cultures offer the use of inorganic materials by microalgae for their growth and the help of bacteria to produce biomass, thus, resulting in the absence of secondary emissions due to its ability to eliminate volatile organic compounds. Moreover, recovered bioactive compounds are transformed into bioethanol, bio-fertilizers, biopolymer, health supplements and animal feed. Therefore, it is significant to focus on an economical and efficient utilization of microalgae in recovering nutrients that can be further used in various commercial applications.
Copyright © 2021 Elsevier Ltd. All rights reserved.","Shazia Ali, Angela Paul Peter, K. Chew, Heli Siti Halimatul Munawaroh, P. Show",10.1016/j.biortech.2021.125461,https://doi.org/10.1016/j.biortech.2021.125461,Bioresource Technology,83,2021,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Efficacious bioremediation of heavy metals and radionuclides from wastewater employing aquatic macro‐ and microphytes,"Cytotoxic, mutagenic, and carcinogenic contaminants, such as heavy metals and radionuclides, have become an alarming environmental concern globally, especially for developed and developing nations. Moreover, inefficient prevalent wastewater treatment technologies combined with increased industrial activity and modernization has led to increase in the concentration of toxic metals and radioactive components in the natural water bodies. However, for the improvement of ecosystem of rivers, lakes, and other water sources different physicochemical methods such as membrane filtration, reverse osmosis, activated carbon adsorption, electrocoagulation, and other electrochemical treatment are employed, which are uneconomical and insufficient for the complete abatement of these emerging pollutants. Therefore, the application of bioremediation employing aquatic macrophytes and microphytes have gained considerable importance owing to the benefits of cost‐effectiveness, eco‐friendly, and higher energy efficiency. Thus, the present review aims to enlighten the readers on the potential application of algae, cyanobacteria, plant, and other aquatic micro‐ and macrophytes for the elimination of carcinogenic metals and radioactive isotopes from wastewater. Additionally, the use of transgenic plants, genetically modified species, algal–bacterial symbiosis for the enhancement of removal efficiency of mutagenic contaminants are also highlighted. Furthermore, species selection based on robustness, mechanism of different pathways for heavy metal and radionuclide detoxification are elucidated in this review article.","Swati Das, Sovik Das, M. Ghangrekar",10.1002/jobm.202100372,https://doi.org/10.1002/jobm.202100372,Journal of Basic Microbiology,32,2022,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Microbial biosorption of metals: potential in the treatment of metal pollution.,"The phenomenon of metal biosorption by microorganisms has been thoroughly documented. Although this phenomenon is exhibited by both living and non-living forms of biomass, the purpose of this chapter will be to review biosorption by the latter. In addition, the application of various technological processes required for exploitation of this phenomenon in waste treatment will be examined.","A. McHale, S. McHale",10.1016/0734-9750(94)90005-1,https://doi.org/10.1016/0734-9750(94)90005-1,Biotechnology Advances,91,1994,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Microalgae-based technology for antibiotics removal: From mechanisms to application of innovational hybrid systems.,"Antibiotics contamination is an emerging environmental concern, owing to its potential risks to ecosystems and human health. Microalgae-based technology has been widely reported as a promising alternative to conventional wastewater treatment, since it is a solar-power driven, ecologically friendly, cost-effective, and sustainable reclamation strategy. This review provides fundamental insights into the major mechanisms underpinning microalgae-based antibiotics removal, including bioadsorption, bioaccumulation, and biodegradation. The critical role of extracellular polymeric substances on bioadsorption and extracellular biodegradation of antibiotics are also covered. Moreover, this review sheds light on the important factors affecting the removal of antibiotics by microalgae, and summarizes several novel approaches to improve the removal efficiency, including acclimation, co-metabolism and microbial consortium. Besides, hybrid systems (such as, microalgae-based technologies combined with the conventional activated sludge, advanced oxidation processes, constructed wetlands, and microbial fuel cells), and genetic engineering are also recommended, which will be feasible for enhanced removal of antibiotics. Finally, this review also highlights the need for further studies aimed at optimizing microalgae-based technology, with emphasis on improving performance and expanding its application in large-scale settings, especially in terms of technical, environmental-friendly and economically competitiveness. Overall, this review summarizes current understanding on microalgae-based technologies for removal of antibiotics and outlines future research directions.","Qian Xiong, Li-Xin Hu, You-Sheng Liu, Jian-Liang Zhao, Liang-Ying He, G. Ying",10.1016/j.envint.2021.106594,https://doi.org/10.1016/j.envint.2021.106594,Environment International,178,2021,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
A critical review of biosorption of manganese (Mn2+) and nickel (Ni2+) ions from aqueous solutions,"Although biosorption is considered a cost-effective, eco-friendly, and straight forward technology to remove toxic metals from aqueous solutions, there are still some gaps that restrain its commercialization.For this purpose, various articles and patents have been published each year to make this technology more economical and effective.We reported a review on the biosorption of manganese ions (Mn 2+ ) and nickel ions (Ni 2+ ) from aqueous solutions.Various biosorbents have been reported for the effective removal of these toxic ions.These biosorbents include algal biomass, fungal biomass, Aspergillus niger and Saccharomyces, green tomato husk, corncob biomass, coconut shells, bacteria, Birbira leaves, Pseudomonas aeruginosa, maize stalks, crab shell particles, macroalgae Fucus vesiculosus, and rice bran.All biosorbents have good capacity of adsorption particularly algal and fungal biomasses.pH study, kinetic investigations, initial concentration, temperature, thermodynamic study and application of isotherms have been evaluated for biosorption of manganese ions (Mn 2+ ) and nickel ions (Ni 2+ ).","Afsar Khan, A. Naeem, Nisar Muhammad, S. Hussain, Ishrat Jamil, I. Shah",10.5004/dwt.2023.29284,https://doi.org/10.5004/dwt.2023.29284,Desalination and Water Treatment,0,2023,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
BIOSORPTION OF HEAVY METALS BY FUNGAL BIOMASS AND MODELING OF FUNGAL BIOSORPTION: A REVIEW,"The wastewaters discharged from chemical industries which may contain heavy metal ions have toxic effect on all the living organisms. Because of this, disposal of them to the environment is a major threat to both human health and ecosystem. So the development of new technologies is required to treat wastewaters as an alternative to traditional physicochemical processes. Biosorption, the process of passive cation binding by dead or living biomass, represents a potentially cost-effective way of eliminating toxic heavy metals from industrial waste waters. While the abilities of microorganisms to remove metal ions in solution have been extensively studied, fungi have been recognized as a promising class of low-cost adsorbents for removal of heavy-metal ions from aqueous waste streams. Algae, fungi and bacteria differ from each other in their constitution, giving rise to different mechanisms of metal biosorption. The paper reviews the biosorption capacities of various fungi (free or immobilized or subjected to physical and chemical treatments) and, chitin and chitosan, important fungal cell wall components, in different reactor systems for heavy metal ions and discusses the fungal biosorption mechanisms. To explore the biosorption mechanisms, it is necessary to identify the functional groups involved in the biosorption process. As single toxic metallic species rarely exist in natural and waste waters, any approach that attempts to removal heavy metals from multi-component systems using fungi would be more realistic. The effects of various combinations of the metal ions on the biosorption capacity of various fungi are discussed and the actions of the metal ion combinations synergistic or antagonistic are identified. Equilibria and capacity relationships for mono-component systems are well established and quantitatively expressed by various types of adsorption isotherms. In the case of multi-metal systems, models should be modified in order to take into account all metals and cover experimental data over a wide range of solution concentrations. The researcher is often puzzled as to what are the basic differences or similarities between the isotherms and what isotherm to select for practical use to predict adsorption capacities or to incorporate it in predicting breakthrough of columnar operations. The paper reviews the range of equilibrium sorption models, and diffusion and sorption models in different reactor systems used by different researchers to correlate experimental data for fungal biosorption.",Y. Saǧ,10.1081/SPM-100102984,https://doi.org/10.1081/SPM-100102984,-,157,2001,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
Biosorption as Technique for Remediation of Heavy Metals from Wastewater using Microbial Biosorbent,"Biosorption, a sustainable technology, utilizes living or non-living organism and their derivative as sorbents for the removal of heavy metals from wastewater. This review explores the mechanisms and applications of biosorption in addressing environmental challenges posed by heavy metal contaminants. Pretreatment methods enhance biosorbent performance by modifying cell wall structures through physical and chemical alterations, increasing metal binding capacity. Immobilization techniques like cell entrapment and cross-linking improve biosorbent stability and reusability in continuous systems, offering controlled particle size and ease of biomass separation. Differential Scanning Calorimetry assesses biosorbent thermal stability, providing insights into performance under varying conditions. Non-living microorganisms present advantages for biosorption, including resilience to toxic wastes and extended storage capabilities. Economic considerations are crucial when evaluating biosorbent modifications for enhanced performance. The review show that biosorption using microbial biosorbents is a versatile and efficient method for heavy metal removal from wastewater, with applications in environmental remediation and sustainable water treatment practices. Future research should focus on novel biosorption strategies and optimization of existing techniques to effectively combat heavy metal pollution.","Yusufu Luka, B. K. Highina, A. Zubairu, A. J. Adeleke, Mamoudou Hamadou, Yagana Abubakar Musti, Abdulhalim Musa Abubakar, Mujahid Umar Yunus",10.55006/biolsciences.2024.4105,https://doi.org/10.55006/biolsciences.2024.4105,Biological sciences,11,2024,no,The paper's focus appears to be more on general environmental remediation rather than specific industrial wastewater treatment applications.,no,The paper discusses wastewater treatment in general terms but does not specifically focus on industrial wastewaters or synthetic solutions mimicking industrial conditions. The context appears to be more general environmental remediation.,no,The paper discusses heavy metals in general but does not specifically focus on the target metals of interest. The scope is too broad and not aligned with the specific metal requirements.,maybe,"The paper discusses microalgae as biosorbents, but as part of a broader review of various biosorbents including bacteria, fungi, and yeasts. While microalgae are mentioned, they are not the primary focus of the study.",no,"While microalgae are discussed, they are not the primary focus of the paper. The paper covers multiple types of biosorbents, with microalgae being just one component among many others.",maybe,"While the paper includes Table 1 showing removal efficiency of various biosorbents, it's a review paper that summarizes existing research rather than presenting new experimental data. The quantitative data presented is limited and not specific to microalgae.",yes,"This is a review paper, which meets this criterion as systematic reviews are acceptable. However, it's a general review of biosorption rather than a focused systematic review of microalgae biosorption.",no,"The paper discusses heavy metals in general terms but does not specifically focus on copper or the other target metals listed in the criteria. While these metals might be included in the broader discussion of heavy metals, there's no explicit mention of the target metals of interest.",Include,"The review paper broadly discusses biosorption mechanisms across multiple microorganisms, but lacks specific focus on microalgae, target metals, and industrial wastewater contexts. While touching on microalgae and heavy metal removal, the study does not provide the targeted, quantitative performance data required by the screening criteria. The comprehensive review's broad scope prevents it from meeting the detailed requirements for a focused systematic review of microalgae biosorption.",2.7
Mitigation of Heavy Metals Utilizing Algae and Its Subsequent Utilization for Sustainable Fuels,"Urbanization and industrialization have accelerated the heavy metal release into the environment, thereby creating a major threat to the life forms on the earth. This pollution has been a challenge for a long time, although various methods for removal of heavy metals have been implemented but the results are still not satisfactory. Recently, there has been an upsurge in using green technology for this remediation through biosorption by photoautotrophic microalgal organisms. This chapter deals with the advantages of employing algal system for sorption over the conventional methods and also precisely reviews the severe impact of different heavy metals on microorganisms, plants and humans. Mechanisms for defence to survive under metal stress by algae are discussed. This chapter also highlights the conditions affecting the biosorption capacity of the algae and a brief insight for utilization of algae in production of biofuel.","C. Sharma, Sunil Kumar, Nitika Bhardwaj, S. Mandotra, A. Ahluwalia",10.1007/978-981-15-7518-1_3,https://doi.org/10.1007/978-981-15-7518-1_3,-,1,2020,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
A REVIEW OF HEAVY METAL ADSORPTION BY MARINE ALGAE,由水藻的重金属的累积为 biomonitoring 或 bioremediation 目的广泛地被学习了。 有低费用原料的优点，大吸附能力，没有第二等的污染，等等，水藻可以被用来对待包含重金属的工业水。 吸附过程在二步被执行：快速的物理吸附首先，然后慢化学吸附。 pH 是影响吸附的主要因素。 Freundlich 方程适合吸附等温线很好。 举起与增加离子的力量减少了。 金属性的阳离子隐遁的主要机制在表面上或在生物材料的多孔的结构内包含在一个金属离子和功能的组之间的建筑群的形成。 alginate 的 carboxyl 组在 complexation 起一个主要作用。 水藻的不同种类和一样的种类的水藻可以有不同吸附能力。 他们为重金属的选择亲密关系是为屏蔽在水处理要过去常的生物学的吸附物的主要标准。 表面建筑群形成模型(SCFM ) 能在 biosorption 解决平衡和运动问题。 关键词水藻 - 吸附 - 重金属 - 机制工程 29677020 由 NSFC 支持了。,"潘进芬, 林荣根, 马丽",-,-,-,14,2000,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Biosorption of Cadmium by Green Algae – A Review,"Cadmium as a chief pollutant in aqueous environment poses a potential threat to human health. It causes serious metal toxic effects and accumulation throughout the food chain. As a result, the systemic body is subjected to the corporate risk of genetical malfunction. The culprits are no doubt the effluents from industries like smelting, dyeing, mining etc. In an attempt to get rid of the cadmium contamination problems, many researchers have tried their best to prove that the biosorption is a feasible and potential technique for cadmium heavy metal decontamination making use of panacea, the green algae, which is the centre point of this study. The purpose of this article is to review how best the green algae be put into use as biosorbent for the complete obliteration of cadmium metal ion from aqueous phase. The various constraints and operational conditions of biosorption processes have been elaborately dealt with.","V. Jayakumar, S. Govindaradjane",-,-,-,12,2017,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Microbial Biosorption as a Green Technology for Bioremediation of Heavy Metals.,"The exponential growth of Industrialization with the increase in human population has led to a heavy metal pollution problem, which has become ubiquitous from air to soil. Heavy metal pollution has become a more serious environmental problem in the last several decades as a result of its toxicity and insusceptibility to the environment. There are many bioremediation technologies including biosorption process to decontaminate the heavy metal polluted sites. Biosorption is a technique that can be used for the removal of pollutants from waters, especially those that are not easily biodegradable such as metals and dyes. A variety of biomaterials are known to bind these pollutants, including bacteria, fungi, algae, and industrial and agricultural wastes. In this review, the biosorption abilities of bacterial and fungal biomass towards metal ions are emphasized. This review attempts to present a brief summary of the role of biosorption in heavy metal removal from wastewater. Undoubtedly, the biosorption process is a potential technique for heavy metal decontamination.","Y. Thakur, Mohit Kumar, Sanjeev Singh",-,-,-,4,2015,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
"Binding of heavy metals by algal biosorbents. Theoretical models of kinetics, equilibria and thermodynamics.","Biosorption is an extensively studied technology applied for the removal of heavy metal ions and other pollutants from aqueous solutions. Most biosorption research is focused on the experimentally measured sorption isotherms, kinetics and thermodynamics. The aim of this paper is to review a class of theoretical models developed for the interpretation of such experimental data related to biosorption of metal cations by alginate-containing sorbents (e.g. algal biosorbents). The focus is put on: (i) modeling the biosorption equilibrium isotherms (including the description of the pH and ionic strength effects); (ii) thermodynamics of biosorption; (iii) kinetics of biosorption; and (iv) metal ion binding modes. This review facilitates the choice of the model suitable for the given type of data and describes the most common mistakes made during the data analysis (e.g. the use of incorrect or oversimplified models).
Copyright © 2013 Elsevier B.V. All rights reserved.",W. Płaziński,10.1016/j.cis.2013.04.002,https://doi.org/10.1016/j.cis.2013.04.002,Advances in Colloid and Interface Science,56,2013,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Diatom mediated heavy metal remediation: A review.,"Exposure to heavy metals is a major threat to aquatic bodies and is a global concern to our four main spheres of the earth viz. atmosphere, biosphere, hydrosphere, and lithosphere. The biosorption of pollutants using naturally inspired sources like microalgae has considerable advantages. Diatoms are the most dominant and diverse group of phytoplankton which accounts for 45% oceanic primary productivity. They perform a pioneer part in the biogeochemistry of metals in both fresh and marine water ecosystems. The diatoms play a significant role in degradation, speciation, and detoxification of chemical wastes and hazardous metals from polluted sites. Herein, an overview is presented about the ability of diatom algae to phycoremediate heavy metals by passive adsorption and active assimilation from their aqueous environments with an emphasis on extracellular and intracellular mechanisms involved in contaminant uptake through the frustules for preventing heavy metal toxicity.
Copyright © 2020 Elsevier Ltd. All rights reserved.","Thomas Kiran Marella, A. Saxena, A. Tiwari",10.1016/j.biortech.2020.123068,https://doi.org/10.1016/j.biortech.2020.123068,Bioresource Technology,129,2020,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
Effects and Mechanisms of Microbial Remediation of Heavy Metals in Soil: A Critical Review,"The use of microbes to change the concentration of heavy metals in soil and improve the ability of plants to deal with elevated metals concentrations has significant economic and ecological benefits. This paper reviews the origins and toxic effects of heavy metal pollution in soil, and describes the heavy metal accumulation mechanisms of microbes, and compares their different bioconcentration abilities. Biosorption, which depends on the special structure of the cell wall, is found to be the primary mechanism. Furthermore, Escherichia coli are found to adsorb more heavy metals than other species. Factors influencing microbial treatment of wastewater and soil containing heavy metals include temperature, pH, and different substrates. Finally, problems in the application of microbial treatment of heavy metal contamination are considered, and possible directions for future research are discussed.","Yu-Bin Jin, Yaning Luan, Yang Ning, Lingyan Wang",10.3390/APP8081336,https://doi.org/10.3390/APP8081336,Applied Sciences,184,2018,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,no,Cell not found,Unknown,Cell failed to load,0
BIOSORPTION FOR METAL IONS REMOVAL FROM AQUEOUS SOLUTIONS: A REVIEW OF RECENT STUDIES,"The presence of metal ions in aqueous solutions represents a major environmental problem. These inorganic species are persistent and non-biodegradable pollutants that should be eliminated from water. In the recent years biosorption have emerged as an economical and environmental friendly method for the decontamination of polluted water. The present work represents a review of the recently published literature discussing the use of non-modified biosorbents for the removal of metal ions from aqueous solution. In this review the main classes of biomass materials used as biosorbents are discussed along with the principle factors affecting the biosorption process such as: solution pH, biomass dose, metal ion concentration and contact time. The potential health and environmental hazards of metal ions in addition to the kinetic and isothermal models usually assessed to fit the biosorption experimental data were also reviewed.","N. Abdel-Ghani, G. El-Chaghaby",-,-,-,109,2014,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,Cannot perform full text screening: full text not available.,0.1
