Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Industrial Application Focus,"Reasoning for ""Industrial Application Focus""",Industrial Water Context,"Reasoning for ""Industrial Water Context""",Metal Scope Relevance,"Reasoning for ""Metal Scope Relevance""",Microalgae Biosorbent,"Reasoning for ""Microalgae Biosorbent""",Microalgae Component Required,"Reasoning for ""Microalgae Component Required""",Quantitative Performance Data,"Reasoning for ""Quantitative Performance Data""",Study Type,"Reasoning for ""Study Type""",Target Metals,"Reasoning for ""Target Metals""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
"Environment-enhancing process for algal wastewater treatment, heavy metal control and hydrothermal biofuel production: A critical review.","Coupling algae growth on wastewater with hydrothermal liquefaction (HTL) is regarded as an environment-enhancing pathway for wastewater management, biomass amplification, sustainable energy generation and value-added products generation. Through this integrated pathway, microalgae can not only recover nitrogen and phosphorus, but also absorb heavy metals from the wastewater. The migration and transformation of heavy metals need to be specifically assessed and considered due to the environmental concerns associated with metal toxicity. This work reviewed recent advances with respect to bioremediation mechanisms. Particular emphasis was placed on the heavy metal migration, transformation, and the key factors involved in algal wastewater treatment and biomass conversion. Additionally, the challenges of coupling algae wastewater treatment, hydrothermal conversion, and heavy metal control were addressed. Finally, a paradigm involving enhanced algal wastewater treatment and bioenergy production for field application was proposed.
Copyright © 2019 Elsevier Ltd. All rights reserved.","Hugang Li, Jamison Watson, Yuanhui Zhang, Haifeng Lu, Zhidan Liu",10.1016/j.biortech.2019.122421,https://doi.org/10.1016/j.biortech.2019.122421,Bioresource Technology,84,2019,maybe,"While the paper discusses wastewater treatment and bioenergy production, it does not explicitly specify an industrial wastewater treatment context.",maybe,"The paper appears to focus on wastewater treatment broadly, without specifically mentioning industrial wastewaters. The context seems more general.",maybe,"The paper discusses heavy metals generally but does not specify which metals are included, making it uncertain whether target metals are covered.",yes,"The paper clearly investigates microalgae for metal removal, mentioning ""absorb heavy metals from the wastewater.""",yes,"The paper clearly focuses on microalgae as a key component, discussing ""algae growth"" and ""algal wastewater treatment.""",maybe,"The abstract does not explicitly mention reporting quantitative biosorption performance data, such as removal efficiency, adsorption capacity, or recovery rates. While the paper discusses ""bioremediation mechanisms"" and ""heavy metal migration,"" there is no clear indication of specific performance metrics being reported.",maybe,"The paper appears to be a review paper rather than an experimental investigation, but there is some uncertainty about whether it is a systematic review/meta-analysis or a narrative review, as the abstract does not explicitly state the review methodology.",maybe,"The paper discusses ""heavy metals"" generally but does not specify which metals are included. It is unclear whether the paper covers the target metals (copper, nickel, cobalt, etc.).",Include,"A review paper exploring microalgae's role in wastewater treatment and heavy metal absorption, with potential industrial applications in bioenergy production. While demonstrating clear focus on microalgae as a biosorbent, the study lacks explicit quantitative performance data and specific details about target metals or industrial wastewater contexts. The research provides a broad overview of bioremediation mechanisms but leaves several screening criteria partially or uncertainly addressed.",3.4
"Review on the Removal of Metal Ions from Effluents Using Seaweeds, Alginate Derivatives and Other Sorbents","Biosorbents, especially those derived from seaweed (macroscopic algae) and alginate derivatives, exhibit high affinity for many metal ions. Because biosorbents are widely abundant (usually biodegradable) and less expensive than industrial synthetic adsorbents, they hold great potential for the removal of toxic metals from industrial effluents. Various studies have demonstrated the efficiency of living and non-living micro-organisms, such as bacteria, yeasts, moulds, micro-algae, cyanobacteria and biomass from water treatment sewage to remove metals from solution. Several types of organic and inorganic biomass have also been used as sorbent materials. In addition, by-products from the forestry industry, as well as agriculture waste and natural sorbents, have also been studied. This paper reviews and summarizes some key recent developments in these areas and it describes and discusses some specific applications of selected natural sorbents.","Jean-François Fiset, J. Blais, P. Riveros",10.7202/018776AR,https://doi.org/10.7202/018776AR,-,30,2008,yes,"The paper has an industrial wastewater treatment context, mentioning ""industrial effluents"" and ""industrial synthetic adsorbents.""",yes,"The abstract mentions ""industrial effluents"" specifically, indicating that the paper has an industrial water context.",maybe,"The abstract does not specify which metals are covered, making it impossible to confirm if target metals are included.",maybe,"While microalgae are mentioned, they appear to be just one of many biosorbents discussed, including bacteria, yeasts, moulds, and other materials, so the focus seems broader than just microalgae.",maybe,"Microalgae are mentioned as one of several biosorbents studied, but it is not clear if microalgae is a primary focus or just one of many examples.",maybe,"The abstract does not explicitly mention whether the paper includes quantitative biosorption performance data, only broadly referring to ""efficiency"" without providing specifics.",maybe,"The paper appears to be a review paper rather than an experimental investigation, as it is described as ""reviewing and summarizing"" rather than presenting original experimental results.",maybe,"The abstract only mentions ""toxic metals"" and ""metal ions"" generally, without specifying which target metals are covered, so it is unclear if the paper includes the target metals of interest.",Include,"A broad review of biosorbents covering multiple organisms and materials, with limited specificity about target metals and quantitative performance data. While touching on industrial effluents and mentioning microalgae, the paper lacks the focused, systematic approach required for comprehensive screening. The wide-ranging scope and general nature suggest potential challenges in meeting detailed screening criteria.",2.9
A Comprehensive Review on Conventional and Biological-Driven Heavy Metals Removal from Industrial Wastewater,"Due to high concentrations of numerous harmful and hazardous pollutants, particularly heavy metals, industrial wastewater has become a major problem. Heavy metal pollution and its implications for human health and the environment have increased research in developing low cost and sustainable remediation technology. Diverse conventional physicochemical and green biological methods are applied to remove heavy metals (HMs). This review article covers both the conventional and biotechnological approaches used for removal of HMs from wastewater and evaluate them based on their efficiency. Adsorption, coagulation, flocculation, chemical precipitation, membrane separation, ion exchange, flotation, and electrochemical technologies are examples of conventional methods. In some circumstances, these procedures produce quick results, although they are less efficient and cost more than biotechnological heavy metals removal (HMR). The current state and prospects of biosorption and bioaccumulation for environmental bioremediation are reviewed. Environmental considerations are evaluated, with a focus on the removal efficiency of biosorption and bioaccumulation. HMR efficiency and cost effectiveness of a range of biosorbents for the removal of pollutants are described. Furthermore, the equilibrium, kinetic, and thermodynamic behavior of the heavy metal biosorption process, based on kinetic and isotherm models, are presented. Overall, this study provides clear information of biological processes, which will help surmount technological limitations of bioseparation process application.","S. Razzak, M. Farooque, Zeyad Alsheikh, Laila Alsheikhmohamad, Deem N Alkuroud, Adah Alfayez, S. Hossain, Mohammad M. Hossain",10.1016/j.envadv.2022.100168,https://doi.org/10.1016/j.envadv.2022.100168,Environmental Advances,279,2022,yes,"The paper clearly has an industrial wastewater treatment context, meeting this criterion.",yes,"The paper explicitly focuses on industrial wastewater, meeting this criterion.",no,"While the paper covers heavy metals, it's unclear if it includes any of the target metals specifically, and the focus appears to be on heavy metals in general.",no,"There is no mention of microalgae as biosorbents, and the paper appears to cover biosorption and bioaccumulation more broadly.",no,"The abstract doesn't mention microalgae at all, and it discusses biosorbents and biological processes generally, but there's no indication that microalgae are included.",maybe,"The abstract mentions that the paper evaluates removal efficiency and discusses kinetic and isotherm models, suggesting quantitative data is included, but specific performance metrics aren't detailed in the abstract.",maybe,"The paper is a review article that covers both conventional and biotechnological approaches, but it appears to be broader in scope than just biosorption, covering multiple removal methods.",no,"The paper focuses on ""heavy metals"" broadly but doesn't specifically mention copper or the other target metals, so it's unclear if the target metals are included in the scope.",Include,"The review article broadly covers heavy metal removal technologies in industrial wastewater, but lacks specific focus on microalgae biosorbents and target metals. While meeting industrial context criteria, the study fails to align with key screening requirements related to microalgae and specific metal removal strategies. The comprehensive review provides insights into biological and conventional removal methods, but does not precisely match the targeted research parameters.",2.7
Is biosorption suitable for decontamination of metal-bearing wastewaters? A critical review on the state-of-the-art of biosorption processes and future directions.,"For the past few decades, biosorption has been widely investigated for the removal of different contaminants in aqueous media. A number of biomasses of different genre have been identified to possess good biosorption capacity. Insights into biosorption mechanisms have been provided by various researchers in order to develop a fundamental scientific understanding of the biosorption process. However, biosorption has not been employed widely for its large-scale commercial applications. The key factors that affect the growth and evolution of biosorption as a practical technology for decontamination of wastewaters include, (1) lack of investigations on multi-component solutions and wastewaters with complex matrix effects, (2) incomplete understanding of physico-chemical characteristics of biomasses of different types, (3) lack of studies to improve the performance of biosorbents through surface functionalization, and (4) non-integration of biosorption in wastewater/water treatment plants. This critical review aims to identify and discuss the practical limitations of biosorption and provide future research directions to make biosorption a technologically viable process with emphasis on selection and modification of biomasses to suit desired treatment applications, identify appropriate operation modes for large-scale applications of biosorption, and perform techno-economic evaluation of overall biosorption processes.
Copyright © 2015 Elsevier Ltd. All rights reserved.","Kuppusamy Vijayaraghavan, Rajasekhar Balasubramanian",10.1016/j.jenvman.2015.06.030,https://doi.org/10.1016/j.jenvman.2015.06.030,Journal of Environmental Management,225,2015,yes,"The paper does discuss industrial applications and ""large-scale commercial applications,"" meeting this criterion.",maybe,"The paper discusses ""wastewaters with complex matrix effects"" and industrial applications, but doesn't specifically focus on industrial wastewaters.",no,The abstract does not specify which metals are covered in the review.,no,There is no specific mention of microalgae as biosorbents. The paper appears to cover biosorption in general terms.,no,"The abstract mentions ""biomasses of different genre"" but does not specifically mention microalgae. It's unclear if microalgae are included in the review.",no,The abstract does not indicate that this paper presents specific quantitative biosorption performance data. It appears to be a high-level review of limitations and future directions.,no,"This is a critical review paper, not an experimental investigation. While reviews can be included, this appears to be a general review of biosorption rather than a systematic review or meta-analysis specifically focused on quantitative data.",no,"The abstract does not specify which metals are discussed. It refers to ""different contaminants"" and ""multi-component solutions"" but doesn't mention any specific metals.",Include,"The critical review lacks specific focus on microalgae, target metals, and quantitative performance data, falling short of the detailed screening requirements. While discussing biosorption technology and industrial applications broadly, the paper does not provide the precise experimental or systematic review elements needed to meet the established criteria. The abstract presents a general overview of biosorption limitations and future directions without the targeted specificity required for inclusion.",2.7
Heavy metal remediation from wastewater using microalgae: Recent advances and future trends.,"Microalgae-based wastewater treatment has previously been carried out in huge waste stabilization ponds. Microalgae, which can absorb carbon dioxide while reusing nutrients from sewage, has recently emerged as a new trend in the wastewater treatment business. Microalgae farming is thought to be a potential match for the modern world's energy strategy, which emphasizes low-cost and environmentally benign alternatives. Microalgae are being used to treat wastewater and make useful products. Microalgae, for example, is a promising renewable resource for producing biomass from wastewater nutrients because of its quick growth rate, short life span, and high carbon dioxide utilization efficacy. Microalgae-based bioremediation has grown in importance in the treatment of numerous types of wastewater in recent years. This solar-powered wastewater treatment technology has huge potential. However, there are still issues to be resolved in terms of land requirements, as well as the process's ecological feasibility and long-term viability, before these systems can be widely adopted. Due to cost and the need for a faultless downstream process, it is difficult to deploy this technology on a large scale. Other recent breakthroughs in wastewater microalgae farming have been investigated, such as how varied pressures affect microalgae growth and quality, as well as the number of high-value components produced. In this review, the future of this biotechnology has also been examined.
Copyright © 2022 Elsevier Ltd. All rights reserved.","A. Priya, A. A. Jalil, S. Vadivel, Kingshuk Dutta, S. Rajendran, Mana Fujii, Matias Soto-Moscoso",10.1016/j.chemosphere.2022.135375,https://doi.org/10.1016/j.chemosphere.2022.135375,Chemosphere,69,2022,maybe,"While the paper discusses wastewater treatment applications, it doesn't specifically focus on industrial wastewater treatment. The context appears to be general wastewater treatment.",maybe,"The abstract mentions ""wastewater"" generally but doesn't specify industrial wastewaters. It appears to discuss wastewater treatment broadly without clear industrial context.",no,"The abstract does not mention any specific metals, making it impossible to determine if target metals are included.",maybe,"While microalgae are discussed, the focus appears to be on general wastewater treatment and nutrient removal rather than specifically on metal biosorption.",yes,"The paper does focus on microalgae as a treatment component, so this criterion is met.",no,The abstract does not mention any specific quantitative biosorption performance data. It discusses general concepts and potential but lacks concrete metrics.,maybe,"This is a review paper, which could potentially qualify. However, it appears to be a general review of microalgae-based wastewater treatment rather than a systematic review or meta-analysis specifically focused on biosorption performance.",no,"The abstract does not mention any specific metals, including copper or other critical metals. It only discusses general ""wastewater nutrients"" and ""wastewater treatment.""",Exclude,"The abstract lacks critical elements required by the screening criteria, including specific quantitative performance data, target metal identification, and a clear industrial wastewater treatment context. While microalgae are discussed, the paper appears to be a general review of wastewater treatment rather than a focused investigation of metal biosorption, rendering it unlikely to meet the specified screening requirements.",1.4
Microalgal bioremediation : Current practices and perspectives,"During last two decades, extensive attention has been paid on the management of environmental pollution caused by hazardous materials. A number of methods has been developed for removal of such substances like precipitation, evaporation, ion-exchange etc. However these methods have several disadvantages. This review highlights the alternative biological agent abundantly present in nature i.e Microalgae as a potential sink for removal of such toxic substances from the surrounding. Microalgal biomass has also been used to remove heavy metal and in wastewater treatment facilities, the microalgae can be used to reduce the amount of toxic chemicals needed to clean and purify water The microalgae either accumulate or adsorb or metabolise these noxious elements into substantial level.",B. Rath,-,-,-,157,2012,maybe,"Similar to criterion 5, the context is too general to confirm industrial focus. It could be discussing any type of wastewater treatment.",maybe,"The abstract mentions ""wastewater treatment facilities"" but doesn't specify if these are industrial or municipal. It's too general to confirm industrial context.",no,"While heavy metals are mentioned, there's no specific indication that the target metals are included in the scope.",yes,"The paper clearly focuses on microalgae as biosorbents, mentioning accumulation, adsorption, and metabolism of toxic elements.",yes,Microalgae is the main focus of the paper as a biosorbent.,no,"The abstract doesn't explicitly mention specific quantitative data. It only discusses removal capabilities in general terms (""reduce the amount of toxic chemicals"").",maybe,"The paper is a review paper, which meets the criterion as systematic reviews are included. However, it's not clear if it's a systematic review or a narrative review.",no,"The abstract mentions ""heavy metal"" but doesn't specify which ones. It's unclear if it includes the target metals (copper, nickel, cobalt, etc.).",Include,"A review paper exploring microalgae's potential for removing toxic substances, with a focus on biosorption mechanisms. While addressing microalgae as a biosorbent, the study lacks specific quantitative performance data and clear identification of target metals or industrial wastewater context. The broad scope and general nature of the review create significant uncertainties about meeting detailed screening criteria.",3.1
Recent adva nces in microalgae-based remediation of industrial and non-industrial wastewaters with simultaneous recovery of value-added products.,"The ability of microalgae to grow in a broad spectrum of wastewaters manifests great potentials for removing contaminants from effluents of industries and urban areas. Since the post-treatment microalgae biomass is also a significant source of high-value products, microalgae-based wastewater treatment is an economical and sustainable solution to wastewater management. Adding more value, the integration of microalgae with living/non-living materials looks more promising. Microalgae-based treatment technology has certain limitations like high operational costs, problematic harvesting, large land requirements, and hindrance in photosynthesis due to turbid wastewater. These challenges need to be essentially addressed to achieve enhanced wastewater remediation. This review has highlighted the potential applications of microalgae in contaminant removal from wastewaters, simultaneous resource recovery, efficient microalgae-based hybrid systems along with bottlenecks and prospects. This state-of-the-art article will edify the role of microalgae in wastewater remediation, biomass valorization for bio-based products, and present numerous possibilities in strengthening the circular bioeconomy.
Copyright © 2021 Elsevier Ltd. All rights reserved.","Rozi Sharma, Arti Mishra, D. Pant, P. Malaviya",10.1016/j.biortech.2021.126129,https://doi.org/10.1016/j.biortech.2021.126129,Bioresource Technology,71,2021,maybe,"While industrial applications are mentioned, the paper appears to cover both industrial and urban wastewater contexts without clear industrial focus, so this criterion is only partially met.",maybe,"The abstract mentions ""effluents of industries"" but also includes ""urban areas"" and does not specify the types of industrial wastewaters, so this criterion is only partially met.",no,"No specific metals are mentioned in the abstract, so the metal scope relevance cannot be determined.",yes,"The paper clearly focuses on microalgae as a treatment agent, though it's not clear if biosorption specifically is discussed.",yes,This criterion is met as the paper focuses entirely on microalgae applications in wastewater treatment.,no,The abstract does not indicate that specific quantitative biosorption performance data is presented. The paper appears to be a general review of applications and potential rather than a systematic analysis of performance metrics.,no,"This is a review article, not an experimental investigation, so it does not meet the criterion of being an experimental study or systematic review/meta-analysis.",no,"The abstract does not specifically mention any metals, let alone the target metals of interest. It refers broadly to ""contaminants"" and ""wastewater remediation"" without metal-specific focus.",Include,"The abstract describes a narrative review of microalgae in wastewater treatment, lacking specific experimental data, quantitative performance metrics, and targeted metal removal focus. While microalgae are central to the discussion, the broad scope and absence of detailed industrial metal biosorption parameters suggest limited alignment with the screening criteria. The paper appears more conceptual than a targeted experimental investigation of metal removal from industrial wastewaters.",2.7
Synthetic Biology-Based Approaches for Microalgal Bio-Removal of Heavy Metals From Wastewater Effluents,"Heavy metal polluted wastewater from industries is currently one of the major environmental concerns leading to insufficient supply of clean water. Several strategies have been implemented to overcome this challenge including the use of microalgae as heavy metal bio-removers. However, there are still limitations that prevent microalgae to function optimally. Synthetic biology is a new biological discipline developed to solve challenging problems via bioengineering approaches. To date, synthetic biology has no universally affirmed definitions; however, it is uncontroversial that synthetic biology utilizes a constructive library of genetic standardized parts to create new biological systems or to redesign existing ones with improved characteristics. In this mini-review, we present state-of-the-art synthetic biology-based approaches that can be used to enhance heavy metal bio-removal from wastewater effluents by microalgae with a narrative synthetic biology workflow (Design-Build-Test-Learn cycle) to guide future developments of more advanced systems. We also provide insights into potent genes and proteins responsible for the bio-removal processes for stepwise developments of more advanced systems. A total of 49 unique genes and proteins are listed based on their eight heavy metals (Mn, Fe, Cu, Zn, As, Cd, Hg, and Pb) bio-removal functions in transport system, cellular tolerance, synthesis of key players in heavy metal bio-removal, biotransformation of heavy metals, and gene expression regulation. Thus, with our library, genetic parts are ready to be recruited for any synthetic biology-based designs. Thereby, this mini-review identifies potential avenues of future research and maps opportunities to unleash more potential of microalgae as heavy metal bio-removers with synthetic biology.","Pachara Sattayawat, I. Yunus, Nuttapol Noirungsee, Nilita Mukjang, W. Pathom-aree, J. Pekkoh, Chayakorn Pumas",10.3389/fenvs.2021.778260,https://doi.org/10.3389/fenvs.2021.778260,Frontiers in Environmental Science,17,2021,yes,"Yes, the paper clearly focuses on industrial wastewater treatment applications.",yes,"Yes, the paper specifically mentions ""heavy metal polluted wastewater from industries"" and ""wastewater effluents,"" indicating an industrial context.",yes,"Yes, the paper includes copper among its target metals, meeting this criterion.",yes,"Yes, the paper explicitly investigates microalgae as biosorbents for metal removal.",yes,"Yes, the paper explicitly focuses on microalgae as biosorbents, meeting this criterion fully.",maybe,"The abstract does not explicitly mention reporting quantitative biosorption performance data. While it discusses bio-removal processes, it appears to focus more on genetic mechanisms and potential approaches rather than specific performance metrics.",maybe,"This is a mini-review paper, not an experimental investigation. While it discusses experimental approaches, it is not primary research. However, systematic reviews are included in the criteria, and this appears to be a structured review of synthetic biology approaches.",yes,"The paper includes copper (Cu) among its target metals, which is one of the specified critical metals. It also covers other heavy metals, though some are out of scope.",Include,"A mini-review exploring synthetic biology approaches for microalgae-based heavy metal bio-removal from industrial wastewater, focusing on copper and other critical metals. The study comprehensively addresses industrial water treatment contexts and microalgae biosorption mechanisms, though it lacks explicit quantitative performance data. Its systematic review of genetic and molecular strategies for enhancing metal removal provides valuable insights into potential industrial applications.",4.3
"Bioremediation of water containing pesticides by microalgae: Mechanisms, methods, and prospects for future research.","The application of pesticides reduces the loss of crops while simultaneously increasing crop productivity. However, the frequent use of pesticides can cause serious environmental problems due to their high accumulative and persistent nature. Recently, microalgae technology has received considerable success in the efficient treatment of pesticides pollution. In this review, the metabolic mechanisms responsible for the removal of pesticides are summarized based on previous studies. Different methods used to enhance the ability of microalgae to remove pesticides are critically evaluated. The recycling of microalgae biomass after wastewater treatment for biochar preparation and biodiesel production using the biorefinery approach is also introduced. Furthermore, we present potential future research directions to highlight the prospects of microalgae research in the removal of pesticides along with the production of value-added products.
Copyright © 2018 Elsevier B.V. All rights reserved.","Jing Nie, Yuqing Sun, Yaoyu Zhou, Manish Kumar, M. Usman, Jiangshan Li, J. Shao, Lei Wang, Daniel C W Tsang",10.1016/j.scitotenv.2019.136080,https://doi.org/10.1016/j.scitotenv.2019.136080,Science of the Total Environment,195,2019,no,"While the paper discusses wastewater treatment, it appears to focus on agricultural/pesticide pollution rather than industrial wastewater treatment.",no,"The paper discusses pesticide pollution and wastewater treatment, but does not specifically mention industrial wastewaters or synthetic solutions mimicking industrial conditions.",no,The paper focuses exclusively on pesticides and does not mention any of the target metals.,maybe,"The paper does investigate microalgae for removal of pollutants, but specifically for pesticides rather than metals.",yes,"The paper does focus on microalgae as a treatment agent, meeting this criterion.",maybe,"The abstract does not explicitly mention quantitative performance data. While the paper discusses ""efficient treatment,"" it does not specifically indicate reporting of removal efficiencies or capacities.",maybe,"The paper is a review paper, which meets the criterion for study type. However, it is not clear if it is a systematic review/meta-analysis or a narrative review.",no,"The paper focuses on pesticides, not metals. There is no mention of any of the target metals (copper, nickel, cobalt, etc.).",Exclude,"The study focuses on microalgae technology for pesticide removal, which fundamentally diverges from the screening criteria targeting metal biosorption in industrial wastewater contexts. Critical misalignments include the absence of target metals, lack of industrial water focus, and concentration on agricultural pesticide pollution rather than metal removal processes. Consequently, the paper does not meet the essential screening requirements for inclusion in the systematic review.",1.4
Biosorption: An Eco–Friendly Technique for the Removal of Heavy Metals,"The biosorption technique can be used for the removal of pollutants from waters, those are considered as non-biodegradable. One of the most serious threats today is the heavy metal pollution that occurs in the aquatic systems. Most of the pollutants present in the waste water possess a significant threat to both environment and public health as they contain xenobiotics and heavy metals which are non-biodegradable and persistent. They possess a health hazard due to the principle of biomagnification as they seem to further accumulate in food chains. A plethora of sustainable biological materials that comprises of algae, bacteria, yeast and fungi have received enormous attention for removal of heavy metal and its recovery. Biosorption technology has advantages that are effective to treat dilute solutions of waste water harbouring heavy metals, has a low operating cost and generates minimum effluent. The dead or the living biomass may sequester the metals by the process of biosorption from water samples. The technology of biosorption employs various kinds of biomass which helps to trap heavy metals in contaminated waters. Intensive work on microbial biomass has emerged as an alternative for developing economic and ecofriendly treatment processes for waste water. The chemical processes that exist today are not economical for the treatment of large volumes of water bodies. Hence biological materials are used by virtue of their good performance, low cost and large available qualities. Here the microbial biomass used acts as an ion exchanger because of the presence of various reactive groups present on the cell surface such as carboxyl, sulphate, phosphate, sulfhydryl, and imidazole. The biosorbents is prepared by modifying the biomass with the help of various processes like granulation, pretreatment and immobilization, which results in the entrapment of heavy metals in bead like structures and by the process of desorption the beads are used to release the metal ions which can be recycled and reused for subsequent procedures. This paper summarises the great challenge for the development of the biosorption process for the metal removal by two trends using hybrid technology and immobilization technology. The present review focuses on the examination of biosorbents within real and current research on biosorption and its potential application.","S. Sabat, Kavitha, Shantha, Gopika R Nair, G. Megha, C. Niranjana, V. Krishna",10.15373/2249555X/DEC2012/1,https://doi.org/10.15373/2249555X/DEC2012/1,-,6,2011,no,"Similar to criterion 5, the focus appears to be on wastewater treatment in general rather than specifically industrial applications.",no,"The abstract mentions ""waste water"" and ""contaminated waters"" but does not specifically indicate an industrial wastewater context. The focus appears to be on wastewater treatment in general terms.",no,The paper discusses heavy metals in general but does not specify which metals are included in the review.,no,"While algae is mentioned, the paper appears to focus broadly on various biological materials rather than specifically on microalgae as biosorbents.",maybe,"The paper mentions algae as one of several biological materials, but it is not clear if microalgae specifically is a focus or just a minor component.",no,"The abstract does not explicitly mention any quantitative biosorption performance data, such as removal efficiency, adsorption capacity, or recovery rates.",maybe,"The paper appears to be a review paper rather than an experimental investigation, as it is described as ""summarizing"" the topic. However, it is unclear if the review is systematic or not.",no,"The paper discusses ""heavy metals"" broadly but does not specifically mention copper or other target metals. It is unclear if the review includes the specific metals of interest.",Include,"The review paper broadly discusses biosorption techniques for heavy metal removal, but lacks specific focus on microalgae, target metals, and industrial wastewater contexts. While touching on relevant topics, the abstract fails to provide clear quantitative performance data or demonstrate a targeted approach to the screening criteria. The general nature of the review prevents it from meeting the detailed requirements of the specified screening parameters.",2.8
Removal of toxic metal ions from aqueous solutions using biosorption technique: Review article,"The aim of this article is to review the biosorption of metal ions by different biosorbents, such as agriculture waste, fruit peels, industrial waste, fungi and alga. All these types were studied in this work using several parameters.
The maximum uptake of the metals (expressed by mg metal/g biosorbent) has been adopted as a criterion for the metal recovery efficiency. It has been concluded that pH is the most important parameters governing the efficiency of such process. This study is covering the literatures during the last two decades.",Salah A. Jassim,-,-,-,0,2020,no,There is no specific mention of an industrial wastewater treatment context in the abstract.,no,"The abstract doesn't specify the type of water used in the studies reviewed, so it's unclear if industrial conditions are included.",no,"The abstract doesn't specify which metals are covered, so it's unclear if the target metals are included.",maybe,"While ""alga"" is mentioned, it's unclear if this specifically refers to microalgae, and it's just one of many biosorbents discussed (along with agricultural waste, fruit peels, industrial waste, and fungi).",maybe,"The abstract mentions ""alga"" as one of the biosorbents studied, but it's not clear if this refers specifically to microalgae or other types of algae.",yes,"The abstract mentions ""maximum uptake of metals (expressed by mg metal/g biosorbent)"" as a criterion, indicating that quantitative performance data is included.",maybe,"The paper is a review article covering literature from the last two decades, which meets the systematic review criterion. However, it's not clear if it's a systematic review or a narrative review, creating some uncertainty.",no,"The abstract only mentions ""metal ions"" generally without specifying which metals are covered, so it's unclear if the target metals (copper, nickel, cobalt, etc.) are included.",Include,"A broad review of biosorption using multiple biosorbents presents significant uncertainties regarding specific metal targets, microalgae focus, and industrial application context. While quantitative performance data is mentioned, the lack of clarity about target metals, water conditions, and precise biosorbent characteristics creates substantial screening ambiguity. The review's general approach suggests potential relevance but fails to definitively meet several critical screening criteria.",3.1
Biosorbents for heavy metal removal from dilute aqueous solution,"The ability of microorganisms to remove metal ions from solution by different mechanisms has been a well-known phenomenon. In the present review paper, various biosorbents (usual industrial byproducts) were investigated. Examples of metal ions treated in the laboratory include cadmium, copper, zinc, nickel, arsenic, chromium, etc. Both gram-positive and gram-negative bacteria were tried; the materials mentioned here were mainly used as a free cell suspension of dead biomass, often after pretreatment or modification. Flotation was then applied for the separation of metal-loaded biomass from the depleted aqueous phase, followed by elution for sorbent reuse. Other significant parameters affecting the combined process were examined.","G. Kyzas, K. A. Matis",10.1016/b978-0-12-819786-8.00006-2,https://doi.org/10.1016/b978-0-12-819786-8.00006-2,-,5,2020,maybe,"The focus appears to be on laboratory studies rather than specific industrial applications, though industrial byproducts are mentioned as biosorbents.",maybe,"The abstract mentions ""solution"" and laboratory studies but doesn't specify industrial wastewater conditions, creating uncertainty about whether this criterion is met.",yes,"The paper includes relevant metals (copper and nickel) along with other metals, so this criterion is met.",no,"The paper focuses on bacterial biosorbents and industrial byproducts, with no mention of microalgae, which is a critical failing.",no,"The abstract only mentions bacteria (both gram-positive and gram-negative) and industrial byproducts, and there is no mention of microalgae, which is a critical failing for this criterion.",maybe,"The abstract doesn't explicitly mention specific quantitative performance data, though it implies that such data exists in the reviewed studies. This creates some uncertainty about whether this criterion is met.",maybe,"The paper is described as a ""review paper"", which meets the criterion for being an experimental investigation or systematic review/meta-analysis. However, it's not clear if it's a systematic review or a narrative review.",yes,"The paper includes copper and nickel, which are target metals, so this criterion is clearly met.",Exclude,"The study focuses on bacterial biosorbents and industrial byproducts for metal ion removal, but critically lacks microalgae as a biosorbent component. While the review includes relevant metals like copper and nickel, the absence of microalgae and uncertainty about industrial water context significantly limit its alignment with the screening criteria. The paper's laboratory-based approach and bacterial focus diverge from the required microalgae-based investigation.",1.4
